source,target,weight
31623,31277,31.0
31623,31627,32.0
31623,31201,2.0
31623,31266,2.0
31623,31615,289.0
31623,31258,2.0
31623,31248,4.0
31623,31232,3.0
31623,31128,7.0
31623,31600,2.0
31623,31628,52.0
31623,31129,3.0
31623,31603,34.0
31623,31233,16.0
31229,31603,10.0
31229,31257,30.0
31229,31200,175.0
31229,31600,7.0
31229,31246,12.0
31229,31228,8.0
31229,31247,1.0
31229,31249,14.0
31229,31265,3.0
31229,31281,12.0
31229,31609,2.0
31229,31215,3.0
31229,31314,2.0
31229,31232,7.0
31229,31295,5.0
31229,31233,104.0
31229,31241,36.0
31229,31289,3.0
31229,31627,8.0
31229,31227,6.0
31229,31212,70.0
31229,31128,46.0
31229,31108,6.0
31229,31321,4.0
31229,31203,27.0
31229,31110,41.0
31229,31214,104.0
31229,31014,11.0
31229,31266,7.0
31229,31272,2.0
31229,31129,11.0
31229,31101,15.0
31229,31277,4.0
31229,31646,3.0
31229,31230,11.0
31229,31243,7.0
31229,31288,4.0
31229,31201,121.0
31229,31064,1.0
31257,31628,4.0
31257,31295,19.0
31257,31277,5.0
31257,31248,1.0
31257,31212,20.0
31257,31200,22.0
31257,31227,1.0
31257,31229,41.0
31257,31271,2.0
31257,31129,1.0
31257,31289,4.0
31257,31246,13.0
31257,31101,4.0
31257,31646,2.0
31257,31258,2.0
31257,31108,8.0
31257,31014,1.0
31257,31203,7.0
31257,31281,1.0
31257,31110,20.0
31257,31228,3.0
31257,31627,1.0
31257,31128,8.0
31257,31609,5.0
31257,31214,17.0
31257,31233,6.0
31257,31272,1.0
31257,31201,8.0
31257,31265,3.0
31257,31314,5.0
31257,31232,4.0
31257,31215,6.0
31257,31230,2.0
31257,31288,1.0
31257,31219,3.0
31257,31321,2.0
31257,31241,3.0
31257,31247,2.0
31257,31623,5.0
31233,31288,8.0
31233,31257,4.0
31233,31232,10.0
31233,31014,1.0
31233,31628,1.0
31233,31214,32.0
31233,31265,11.0
31233,31295,1.0
31233,31623,1.0
31233,31314,1.0
31233,31646,1.0
31233,31271,1.0
31233,31201,17.0
31233,31110,11.0
31233,31247,4.0
31233,31230,7.0
31233,31246,8.0
31233,31277,3.0
31233,31212,2.0
31233,31128,4.0
31233,31258,4.0
31233,31272,3.0
31233,31227,3.0
31233,31600,7.0
31233,31249,2.0
31233,31129,5.0
31233,31603,9.0
31233,31200,6.0
31233,31290,2.0
31233,31615,3.0
31233,31108,4.0
31233,31266,5.0
31233,31229,27.0
31233,31228,11.0
31233,31215,1.0
31233,31203,16.0
31233,31241,11.0
31233,31321,3.0
31233,31248,3.0
31233,31627,4.0
31233,31219,1.0
31233,31609,3.0
31233,31281,11.0
31233,31101,16.0
31219,31247,2.0
31219,31290,8.0
31219,31288,2.0
31219,31271,4.0
31219,31258,2.0
31219,31613,6.0
31219,31228,3.0
31219,31108,1.0
31219,31600,1.0
31219,31233,2.0
31219,31129,1.0
31219,31272,1.0
31219,31229,1.0
31219,31249,3.0
31219,31615,1.0
31219,31277,5.0
31219,31321,1.0
31219,31201,4.0
31219,31314,1.0
31219,31230,4.0
31219,31289,4.0
31219,31128,1.0
31219,31248,2.0
31219,31623,24.0
31219,31203,2.0
31219,31628,6.0
31101,31129,5.0
31101,31288,2.0
31101,31203,32.0
31101,31295,3.0
31101,31014,6.0
31101,31321,4.0
31101,31289,2.0
31101,31272,2.0
31101,31110,25.0
31101,31241,33.0
31101,31229,23.0
31101,31233,10.0
31101,31600,7.0
31101,31200,75.0
31101,31281,30.0
31101,31228,10.0
31101,31271,1.0
31101,31258,6.0
31101,31232,1.0
31101,31214,22.0
31101,31246,8.0
31101,31290,3.0
31101,31212,14.0
31101,31227,7.0
31101,31623,2.0
31101,31257,4.0
31101,31248,1.0
31101,31201,47.0
31101,31603,9.0
31101,31128,15.0
31101,31266,14.0
31101,31215,1.0
31101,31615,1.0
31101,31230,5.0
31101,31277,8.0
31101,31627,14.0
31101,31265,9.0
31613,31233,1.0
31613,31603,10.0
31613,31228,1.0
31613,31230,6.0
31613,31277,3.0
31613,31615,23.0
31613,31219,2.0
31613,31200,1.0
31613,31314,1.0
31613,31609,5.0
31613,31623,53.0
31613,31627,6.0
31613,31628,66.0
31613,31266,1.0
31613,31258,1.0
31613,31248,2.0
31613,31247,2.0
31613,31215,2.0
31613,31108,15.0
31613,31227,1.0
31613,31271,1.0
31613,31243,14.0
31613,31646,5.0
31613,31272,4.0
31613,31232,1.0
31613,31288,7.0
31613,31289,3.0
31613,31265,9.0
31007,31623,1.0
31007,31249,2.0
31007,31247,4.0
31007,31288,1.0
31007,31289,1.0
31007,31646,1.0
31007,31002,6.0
31007,31248,2.0
31247,31241,2.0
31247,31249,34.0
31247,31281,1.0
31247,31129,21.0
31247,31215,2.0
31247,31243,2.0
31247,31203,3.0
31247,31007,1.0
31247,31272,13.0
31247,31064,2.0
31247,31277,19.0
31247,31290,22.0
31247,31201,2.0
31247,31271,32.0
31247,31615,4.0
31247,31609,3.0
31247,31232,1.0
31247,31628,4.0
31247,31258,78.0
31247,31613,4.0
31247,31627,2.0
31247,31108,8.0
31247,31219,7.0
31247,31002,1.0
31247,31288,25.0
31247,31623,11.0
31247,31321,6.0
31247,31233,8.0
31247,31230,4.0
31247,31248,27.0
31247,31289,44.0
31247,31246,1.0
31247,31265,3.0
31247,31228,4.0
31247,31646,5.0
31247,31227,4.0
31247,31101,3.0
31247,31257,3.0
31247,31295,1.0
31247,31603,3.0
31627,31613,11.0
31627,31227,6.0
31627,31214,2.0
31627,31615,48.0
31627,31271,5.0
31627,31201,4.0
31627,31101,14.0
31627,31212,2.0
31627,31272,4.0
31627,31233,1.0
31627,31257,1.0
31627,31289,1.0
31627,31110,1.0
31627,31241,4.0
31627,31623,56.0
31627,31203,2.0
31627,31265,10.0
31627,31228,3.0
31627,31246,1.0
31627,31609,1.0
31627,31247,3.0
31627,31281,6.0
31627,31321,1.0
31627,31219,1.0
31627,31243,1.0
31627,31288,1.0
31627,31266,3.0
31627,31600,29.0
31627,31215,2.0
31627,31603,23.0
31627,31200,4.0
31627,31646,1.0
31627,31229,1.0
31627,31108,3.0
31627,31232,3.0
31615,31281,3.0
31615,31289,2.0
31615,31230,1.0
31615,31247,8.0
31615,31128,2.0
31615,31600,15.0
31615,31200,1.0
31615,31232,3.0
31615,31129,3.0
31615,31609,2.0
31615,31321,2.0
31615,31288,2.0
31615,31219,1.0
31615,31229,1.0
31615,31613,17.0
31615,31603,25.0
31615,31214,2.0
31615,31646,1.0
31615,31277,1.0
31615,31243,10.0
31615,31203,1.0
31615,31628,4.0
31615,31233,1.0
31615,31249,2.0
31615,31265,4.0
31615,31627,32.0
31615,31248,1.0
31615,31228,8.0
31615,31227,2.0
31615,31271,3.0
31615,31623,259.0
31615,31101,2.0
31615,31108,3.0
31129,31609,1.0
31129,31257,3.0
31129,31200,4.0
31129,31215,2.0
31129,31249,10.0
31129,31246,1.0
31129,31288,26.0
31129,31247,12.0
31129,31230,4.0
31129,31064,2.0
31129,31108,1.0
31129,31007,1.0
31129,31623,1.0
31129,31241,3.0
31129,31243,6.0
31129,31615,5.0
31129,31266,1.0
31129,31272,6.0
31129,31229,2.0
31129,31321,18.0
31129,31233,4.0
31129,31281,1.0
31129,31212,1.0
31129,31603,1.0
31129,31290,19.0
31129,31277,6.0
31129,31201,2.0
31129,31289,12.0
31129,31128,1.0
31129,31248,4.0
31129,31203,1.0
31129,31258,30.0
31129,31628,3.0
31129,31271,15.0
31129,31646,2.0
31129,31295,2.0
31129,31232,5.0
31129,31110,2.0
31281,31200,21.0
31281,31215,1.0
31281,31248,3.0
31281,31128,4.0
31281,31627,6.0
31281,31646,3.0
31281,31214,6.0
31281,31266,37.0
31281,31101,19.0
31281,31110,1.0
